"Name","parameter_count","throughput/total_tokens","throughput/total_gflops","eval/paloma/macro_loss","trainer.train_batch_size","trainer.num_train_steps","optimizer.learning_rate","model.hidden_dim","model.num_layers"
"exp2166-scaling-ladder-comma-validation-optimal-3e+19-5b04fb","669160448","7787380736","30000190274.06881","3.506753444671631","32","59413","0.0014584077361972543","1280","13"
"exp2166-scaling-ladder-comma-validation-optimal-1e+20-ee92d7","998036992","16608657408","99999453897.54128","3.328258752822876","64","63357","0.00171875","1536","16"
"exp2166-scaling-ladder-comma-validation-optimal-6e+19-40cc31","669160448","15574761472","60000380548.13762","3.3999950885772705","64","59413","0.0020625","1280","13"
"exp2166-scaling-ladder-comma-validation-optimal-1e+19-4a5810","447244032","4077977600","9999989266.710527","3.6981310844421382","16","62225","0.0012890625","1024","11"
"exp2166-scaling-ladder-comma-validation-optimal-6e+18-93e97d","358306688","3152609280","6000014506.044949","3.787144184112549","16","48105","0.0014732142857142858","896","10"
"exp2166-scaling-ladder-comma-validation-optimal-3e+18-b4f71e","272513792","2225930240","2999992672.9506817","3.907057046890259","16","33965","0.00171875","768","8"
"exp2166-scaling-ladder-comma-validation-optimal-1e+18-3e66cb","156508160","1434976256","1000002028.7111824","4.183043003082275","8","43792","0.001823009670246568","512","6"
"isoflop-1e+20-d768-L8-B512-comma-mix","272513792","222593810432","300000327207.0975","3.4256324768066406","512","106141","0.00972271824131503","768","8"
"isoflop-1e+20-d512-L6-B128-comma-mix","156508160","430491828224","299999877884.7988","3.705698013305664","128","821098","0.007292038680986272","512","6"
"isoflop-1e+20-d1024-L11-B512-comma-mix","447244032","122339459072","299999999415.1934","3.260427713394165","512","58336","0.007292038680986272","1024","11"
"isoflop-1e+20-d1280-L13-B512-comma-mix","669160448","77873545216","300000892854.29034","3.1699068546295166","512","37133","0.005833630944789018","1280","13"
"isoflop-1e+20-d1792-L18-B256-comma-mix","1384584448","35199647744","299999886698.0717","3.109652519226074","256","33569","0.0029464285714285716","1792","18"
"isoflop-1e+20-d2560-L26-B64-comma-mix","3383110656","13877116928","300002787579.113","3.196133613586426","64","52937","0.00103125","2560","26"
"isoflop-1e+20-d3584-L35-B32-comma-mix","8112833792","5756026880","299999278923.69214","3.2665581703186035","32","43915","0.0005208599057847337","3584","35"
"isoflop-1e+20-d3328-L33-B32-comma-mix","6701811712","6964117504","300001399295.3591","3.2473855018615723","32","53132","0.0005609260523835594","3328","33"
"isoflop-1e+20-d2304-L23-B128-comma-mix","2544614912","18617466880","300000333778.3974","3.122793197631836","128","35510","0.0016204530402191715","2304","23"
"isoflop-1e+20-d3072-L30-B64-comma-mix","5318048256","8797814784","300001040463.7264","3.1995811462402344","64","33561","0.000859375","3072","30"
"isoflop-1e+20-d2048-L21-B128-comma-mix","1934716160","24675090432","300000788589.66425","3.132127523422241","128","47064","0.001823009670246568","2048","21"
"isoflop-1e+20-d1536-L16-B256-comma-mix","998036992","49826234368","299999940041.56555","3.1392297744750977","256","47518","0.0034375","1536","16"
"isoflop-1e+20-d2816-L28-B64-comma-mix","4275080960","10956570624","299998698452.4196","3.1791906356811523","64","41796","0.0009375","2816","28"
"isoflop-3e+19-d3072-L30-B16-comma-mix","5318048256","2639331328","89999865190.2182","3.4796152114868164","16","40273","0.0004296875","3072","30"
"isoflop-3e+19-d2304-L23-B32-comma-mix","2544614912","5585240064","90000100133.51923","3.3602747917175293","32","42612","0.0008102265201095859","2304","23"
"isoflop-3e+19-d3328-L33-B8-comma-mix","6701811712","2089222144","89999855154.49025","3.5478620529174805","8","63758","0.0002804630261917797","3328","33"
"isoflop-3e+19-d768-L8-B256-comma-mix","272513792","66778562560","90000663448.54488","3.477428436279297","256","63685","0.006875","768","8"
"isoflop-3e+19-d2560-L26-B16-comma-mix","3383110656","4163108864","90000269557.09415","3.4192652702331543","16","63524","0.000515625","2560","26"
"isoflop-3e+19-d512-L6-B128-comma-mix","156508160","129147863040","90000182584.00641","3.7268166542053223","128","246330","0.007292038680986272","512","6"
"isoflop-3e+19-d1280-L13-B128-comma-mix","669160448","23361748992","89999055992.60983","3.3049635887145996","128","44559","0.002916815472394509","1280","13"
"isoflop-3e+19-d1536-L16-B64-comma-mix","998036992","14947975168","90000613352.04633","3.374229907989502","64","57022","0.00171875","1536","16"
"isoflop-3e+19-d1024-L11-B256-comma-mix","447244032","36702257152","90001028348.96634","3.339935541152954","256","35002","0.00515625","1024","11"
"isoflop-3e+19-d2048-L21-B32-comma-mix","1934716160","7402553344","90000555292.67842","3.3593087196350098","32","56477","0.000911504835123284","2048","21"
"isoflop-3e+19-d3584-L35-B8-comma-mix","8112833792","1726808064","89999783677.10764","3.588470458984375","8","52698","0.00026042995289236686","3584","35"
"isoflop-3e+19-d1792-L18-B64-comma-mix","1384584448","10559946752","90000412850.08804","3.332141160964966","64","40283","0.0014732142857142858","1792","18"
"isoflop-6e+19-d512-L6-B128-comma-mix","156508160","258295201792","179999999803.7349","3.7119431495666504","128","492659","0.007292038680986272","512","6"
"isoflop-3e+19-d2816-L28-B16-comma-mix","4275080960","3286958080","89999250651.2651","3.4528822898864746","16","50155","0.00046875","2816","28"
"isoflop-3e+19-d3840-L37-B8-comma-mix","9714698752","1443332096","90000163075.45964","3.618006229400635","8","44047","0.00024306795603287577","3840","37"
"isoflop-6e+19-d1024-L11-B512-comma-mix","447244032","73404514304","180002056697.93268","3.2847225666046143","512","35002","0.007292038680986272","1024","11"
"isoflop-3e+19-d4096-L40-B8-comma-mix","11788433408","1189281792","90001014742.50995","3.6691410541534424","8","36294","0.000227876208780821","4096","40"
"isoflop-6e+19-d2048-L21-B64-comma-mix","1934716160","14805106688","180001110585.35684","3.274052381515503","64","56477","0.0012890625","2048","21"
"isoflop-6e+19-d1280-L13-B256-comma-mix","669160448","46723497984","179998111985.21967","3.2226548194885254","256","44559","0.004125","1280","13"
"isoflop-6e+19-d3072-L30-B32-comma-mix","5318048256","5278662656","179999730380.4364","3.312819480895996","32","40273","0.0006076698900821894","3072","30"
"isoflop-6e+19-d2816-L28-B32-comma-mix","4275080960","6573916160","179998501302.5302","3.296725273132324","32","50155","0.0006629126073623884","2816","28"
"isoflop-6e+19-d2560-L26-B32-comma-mix","3383110656","8326217728","180000539114.1883","3.2796261310577393","32","63524","0.0007292038680986273","2560","26"
"isoflop-6e+19-d3584-L35-B16-comma-mix","8112833792","3453616128","179999567354.21527","3.3990893363952637","16","52698","0.00036830357142857145","3584","35"
"isoflop-6e+19-d768-L8-B512-comma-mix","272513792","133557125120","180001326897.08975","3.4362382888793945","512","63685","0.00972271824131503","768","8"
"isoflop-6e+19-d1792-L18-B128-comma-mix","1384584448","21119893504","180000825700.1761","3.1873393058776855","128","40283","0.002083439623138935","1792","18"
"isoflop-6e+19-d1536-L16-B128-comma-mix","998036992","29895950336","180001226704.09265","3.1997082233428955","128","57022","0.0024306795603287576","1536","16"
"isoflop-6e+19-d3328-L33-B16-comma-mix","6701811712","4178444288","179999710308.9805","3.3725128173828125","16","63758","0.00039663461538461543","3328","33"
"isoflop-6e+19-d3840-L37-B16-comma-mix","9714698752","2886664192","180000326150.91928","3.426795959472656","16","44047","0.00034375000000000003","3840","37"
"isoflop-6e+19-d4096-L40-B16-comma-mix","11788433408","2378563584","180002029485.0199","3.464399576187134","16","36294","0.000322265625","4096","40"
"isoflop-6e+19-d2304-L23-B64-comma-mix","2544614912","11170480128","180000200267.03845","3.226104736328125","64","42612","0.0011458333333333331","2304","23"
"isoflop-1e+19-d2560-L26-B8-comma-mix","3383110656","1387692032","29999853720.43149","3.685892105102539","8","42349","0.0003646019340493136","2560","26"
"isoflop-1e+19-d1280-L13-B32-comma-mix","669160448","7787380736","30000190274.06881","3.505201816558838","32","59413","0.0014584077361972543","1280","13"
"isoflop-1e+19-d1792-L18-B16-comma-mix","1384584448","3519938560","29999765249.473904","3.542515516281128","16","53710","0.0007366071428571429","1792","18"
"isoflop-1e+19-d512-L6-B128-comma-mix","156508160","43049287680","30000060861.33547","3.7524490356445312","128","82110","0.007292038680986272","512","6"
"isoflop-1e+19-d2048-L21-B16-comma-mix","1934716160","2467495936","29999919501.07686","3.570661783218384","16","37651","0.00064453125","2048","21"
"isoflop-1e+19-d768-L8-B128-comma-mix","272513792","22259171328","29999750077.50193","3.559680461883545","128","42456","0.004861359120657515","768","8"
"isoflop-1e+19-d2304-L23-B8-comma-mix","2544614912","1861746688","30000033377.839745","3.6291911602020264","8","56816","0.00040511326005479294","2304","23"
"isoflop-1e+19-d1536-L16-B32-comma-mix","998036992","4982571008","29999678334.368217","3.4931461811065674","32","38014","0.0012153397801643788","1536","16"
"isoflop-1e+19-d1024-L11-B64-comma-mix","447244032","12233998336","30000128507.07038","3.492298126220703","64","46669","0.002578125","1024","11"
"isoflop-1e+19-d2816-L28-B8-comma-mix","4275080960","1095663616","30000049287.47235","3.7283153533935542","8","33437","0.0003314563036811942","2816","28"
"isoflop-6e+18-d640-L7-B128-comma-mix","210054272","18195939328","18000250006.740665","3.671673536300659","128","34706","0.005833630944789018","640","7"
"isoflop-3e+18-d1664-L17-B8-comma-mix","1180038272","1250361344","8999982039.74674","3.788234233856201","8","38158","0.0005609260523835594","1664","17"
"isoflop-3e+18-d1280-L13-B16-comma-mix","669160448","2336227328","9000107576.54053","3.707989692687988","16","35648","0.00103125","1280","13"
"isoflop-3e+18-d1536-L16-B8-comma-mix","998036992","1494777856","8999942959.034008","3.76473331451416","8","45617","0.0006076698900821894","1536","16"
"isoflop-1e+18-d896-L10-B8-comma-mix","358306688","1576304640","3000007253.0224743","3.918935060501098","8","48105","0.0010417198115694674","896","10"
"isoflop-3e+18-d1152-L12-B16-comma-mix","550337664","2904358912","8999992079.50123","3.711398124694824","16","44317","0.0011458333333333331","1152","12"
"isoflop-3e+18-d896-L10-B32-comma-mix","358306688","4728946688","9000084122.797867","3.691041946411133","32","36079","0.002083439623138935","896","10"
"isoflop-1e+18-d640-L7-B16-comma-mix","210054272","3032612864","2999998446.99734","3.9519667625427246","16","46274","0.0020625","640","7"
"isoflop-6e+18-d1024-L11-B32-comma-mix","447244032","7340425216","18000141387.01775","3.58897066116333","32","56003","0.001823009670246568","1024","11"
"isoflop-6e+18-d1664-L17-B16-comma-mix","1180038272","2500722688","17999964079.49348","3.6167867183685303","16","38158","0.0007932692307692309","1664","17"
"isoflop-3e+18-d768-L8-B32-comma-mix","272513792","6677856256","9000066344.854486","3.730374336242676","32","50948","0.0024306795603287576","768","8"
"isoflop-6e+18-d768-L8-B64-comma-mix","272513792","13355712512","18000132689.708973","3.629035472869873","64","50948","0.0034375","768","8"
"isoflop-1e+18-d1024-L11-B8-comma-mix","447244032","1223393280","2999996780.0131583","3.925891876220703","8","37335","0.000911504835123284","1024","11"
"isoflop-6e+18-d1536-L16-B16-comma-mix","998036992","2989555712","17999885918.068016","3.607290744781494","16","45617","0.000859375","1536","16"
"isoflop-6e+18-d1152-L12-B32-comma-mix","550337664","5808717824","17999984159.00246","3.573185682296753","32","44317","0.0016204530402191715","1152","12"
"isoflop-6e+18-d1920-L19-B8-comma-mix","1613248384","1799094272","18000071180.408585","3.686477661132813","8","54904","0.0004861359120657515","1920","19"
"isoflop-6e+18-d2048-L21-B8-comma-mix","1934716160","1480491008","17999872021.70133","3.71248197555542","8","45181","0.000455752417561642","2048","21"
"isoflop-6e+18-d512-L6-B128-comma-mix","156508160","25829572608","18000036516.80128","3.771472692489624","128","49266","0.007292038680986272","512","6"
"isoflop-3e+18-d512-L6-B64-comma-mix","156508160","12914786304","9000018258.40064","3.844071388244629","64","49266","0.00515625","512","6"
"isoflop-6e+18-d1408-L15-B16-comma-mix","837007744","3612672000","17999876855.955456","3.5963940620422363","16","55125","0.0009375","1408","15"
"isoflop-6e+18-d2176-L22-B8-comma-mix","2224985216","1281916928","18000127981.08264","3.7350106239318848","8","39121","0.0004289434518227219","2176","22"
"isoflop-1e+18-d512-L6-B32-comma-mix","156508160","4304928768","3000006086.133547","3.9702630043029785","32","32844","0.003646019340493136","512","6"
"isoflop-3e+18-d640-L7-B64-comma-mix","210054272","9097969664","9000125003.370333","3.7540283203125","64","34706","0.004125","640","7"
"isoflop-6e+18-d896-L10-B64-comma-mix","358306688","9457893376","18000168245.595734","3.5687594413757324","64","36079","0.0029464285714285716","896","10"
"isoflop-1e+18-d768-L8-B16-comma-mix","272513792","2225930240","2999992672.9506817","3.9073314666748047","16","33965","0.00171875","768","8"
"isoflop-6e+18-d1280-L13-B32-comma-mix","669160448","4672454656","18000215153.08106","3.5582828521728516","32","35648","0.0014584077361972543","1280","13"
"isoflop-3e+18-d1408-L15-B8-comma-mix","837007744","1806336000","8999938427.977728","3.752978801727295","8","55125","0.0006629126073623884","1408","15"
"isoflop-3e+18-d1024-L11-B16-comma-mix","447244032","3670212608","9000070693.508875","3.7123465538024902","16","56003","0.0012890625","1024","11"
"isoflop-6e+18-d1792-L18-B8-comma-mix","1384584448","2111995904","18000138425.100925","3.665910243988037","8","64453","0.0005208599057847337","1792","18"
"isoflop-6e+18-d2304-L23-B8-comma-mix","2544614912","1117061120","18000231235.049225","3.755157470703125","8","34090","0.00040511326005479294","2304","23"
"isoflop-1e+20-d4096-L40-B16-comma-mix","11788433408","3964207104","299998422921.6776","3.355804681777954","16","60489","0.000322265625","4096","40"
"isoflop-1e+20-d3840-L37-B32-comma-mix","9714698752","4811128832","300001905768.64","3.2964468002319336","32","36706","0.0004861359120657515","3840","37"